Tag,Text
invoice,"; — anycompany supplies inc . date feb 23, 2020 suite 874 6531 homenick street invoice #369343416 lake jamehaven ct 84463 customer id 370 phone (858) 5550101 due date mar 09, 2020 bill to shirley rodriguez 340 thalia inlet, lake randolph connecticut 77274 shirley.rodriguezexample.com description amount blonyx hmb+ creatine . 240g, 1mo . $81.77 canon eos rebel t5 digital $479.91 aeotec aeon labs dsb28zwus $100.82 honeywell ht900 turboforce air circulator $38.51 total $701.01 other comments total payment due 30 days lfpaying check, include invoice number check questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
receipt,"the aiml store 1234 somewhere ro poway, california 92129 02/13/2022 1228 am wlueceaeuale aera alaa (9638102381029981230981 cuisinart dsbs508k 12 cup $124 . 44 automat ic replacement canopy} $169.01 walmart's dc kerastase chronologiste 1 $311.67 eggential revitalization ritual ‘ subtotal, 566 . 12 t = ca tax 7 . 7600 650, 504 $45, ba total 9650 . 504 408 diner charge 9650 . 504 aid 4000027 1612031 diner credit auth code 63031 some promotions may reduce the refund valle of tems {roo reooi ido edodecioikcoedisodciooi we feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . com/win ‘ 5 winners monthl * oif iiit iii iiia fair tie cashier john doe store 123 pos 002 trangact ion 2629 sunday, february 18, 2022 1228 am"
receipt,"the aiml store 1234 somewhere ro poway, california 92129 02/13/2022 1220 am; al yerourean cea a mu '9836162381029381~230981 . nfl . new or leans saints 1 $7.9 silicone vr headset glasses virtual 1 $29.60 real ity . 4000 glass reusable i20z 1 . coffee subtotal $99.90 j = ca tax 7.7500 96 . 643 $6.78 total $0.68 16388 visa charge 906.68 aid 00002 4487268 visa debit auth code ob t258 some promotions may reduce the refund value of items iago io oia aito iiia aih fe feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . com/win . * 5 winners monthl * 2 oig iook idoi iodc iori iii cashier john doe store 123 pos 008 transact ion2529 sunday, february 13, 2022 1228 am"
employment proof,"verification of current employment letter template yourname] your tite] company name] address] date] recipient name] recipient tie] company name] address] re verifying current employment employee name] dear person requesting] the purpose fo confirm employee name] currently employed company name] hire date hire date] actively holds employee tile/position}. ‘ authorized release information behalf satisfy requirements request ‘ + annual gross salary ${total annual salary] paid weekiy, monthly semimonthiy} instalments check direct bank deposit hourly wage houtly wage 1+ upto percent] annual gross salary eligible annual performance bonus + standard benefits include ‘ medical dental insurance vacation days number] days annual paid time sick days number] days sickleave 401k/tetirement plan benefits] if questions concems, contact phone number / email ‘ address . sincerely, your name] signature]"
salary slip,"mr. anjum hameed, we pleased inform salary revised w. e. f. 01122006 existing revised basic salary 6,000 7,200 house rent 2,700 3,240 utility 600 720 transport allowance 300 360 medical allowance 400 480 total 10,000 12,000 yours faithfully, elmetec (private) limit"
invoice,"anycompany llc date jan 14, 2021 apt . 545 4628 conrad estates invoice #440245463 port jonview ar 79890 customer id 5238 phone (858) 5550101 due date jan 29, 2021 bill to john doe 45245 beahan forge, valeryshire texas 37522 john.doeexample.com description amount modern chic thank you cards $27.5 galaxy note 5 case, style4u $24.71 kong wild knots squeaker bears $17.03 windaze 55"" afphgan serenity loom $42.28 total $111.52 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 1of5 03/02/2022 dc 1090001004290 . gi anycompany llc 999999999 16769 3 c001 11s 66.002 akua mansa 993 branden isle, darleenburgh, ri.786912896 your consolidated statement contact for 03/02/2022 beg excrete bey 58) stb o10 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany llc if traveling usa concems accessing account traveling, contact branch banker call 858lll0101 summary accounts account . name, account number lance (8). checking 008174356909 18,123.88 total checking money market savings accounts $18,123.88 savings 817435690936 18,029.32 page 3 ‘ total savings accounts $18,029.32 — checking money market savings accounts checking 008174356909 account summary . deposits, credits int 5.9 your balance 0f 06/17/2020 = $18,123.88 average posted balance statement cycle . $2,502.12 checks date check #amount ($) date check #amount ($) check #amount ($) 05261401 5 450.00 ~ * 965025 ae 9 o 39 total checks * jndicates skip sequential check numbers item = page 1 1 0000667"
business proof,"how sell paytm the ultimate guide i selling career online selling however, platforms . there snapdeal, shopclues, infibeam, recent times, paytm . paytm payment services branched ecommerce roll . sell amazon flipkart means paytm . so, register paytm sell paytm? simply follow succinct guide . get legal business documents it mandatory registered business entity wish eligible sell paytm . you documents time register seller paytm . gst registration certificate pan number business bank account cancelled cheque proof id proof address ‘ additionally, ready trade mark certificate (sell brand), authorization letter (selling branded products) purchase invoice, business register . talking registering business itis form proprietorship, partnership private/public limited company . it takes time find handle . scan documents pof jpg format hand . register seller this easiest quickest part . ‘ ¢ first time users create paytm account mobile phone number proceed link httos//seller.paytm.com/login"
invoice,"anycompany retail services date may 05, 2020 llc invoice #157333704;; customer id 1215 558 milford spring due date may 20, 2020 south hope nv 65895 phone (858) 5550101 bill to martha rivera 322 jacobs extension, new halinaburgh hawaii 88714 martha.riveraexample.com description amount soriken universal 3in1 clipon lens $29.48 75 cake topper 75th $36.34 total $65.82 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
address proof,"hr address proof letter place visakhapatnam date 21 june 2022 . to whomsoever it may concern this certify mr. suresh konuru employee id 2154 working organization marketing manager 21 june 2022 . as company records current address 8125, dabagardens, visakhapatnam, andhra pradesh 530004 . this certificate issued request purpose opening bank account . for “ abc foundation ”, srinivas g (general manager)"
bank statement,"page 1 5 03/02/2022 dc . 1090001004290 gr anycompany holdings . llc 999999999 16769 3 c001 11 s 66.002 mateo jackson 76910 marylin club, bauchport, mi 11293 your consolidated statement contact roraanaro aes a do digital banking bank leave home check account balances . make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u . example bank, member fdic to learn, visit example.com/abcxyz 2020 anycompany holdings llc ifyou traveling usa concems accessing account traveling, contact branch banker call 858lll0104 summary accounts account name balance ($) __ details on checking 000117 9,891.33 page 1 total checking money market savings acco! $9,891.33 savings 011751124836 10,585.58 _page 3 total savings accounts $40,585.58 checking money market savings accounts = checking 000117511248 account summary epos your balance 06/17/2020 average posted balance statement cycle $4,129.81 checks date check #amount ($) date check #amount ($) 0526 ‘ 1401 40139 026 18 indicates skip ‘ total checks = page 1 1 0000667"
receipt,"the aiml store 1234 somewhere rd “ poway, california 92129 02/13/2022 1228 am exon usb otg connection kit 1 $13.29 iphone 6 nonglip protective 1 sba case; subtotal 67.74 t= 0a tax 7.7600 72821 $5,081 total $72 . 821 oe04 amex . charge $72,821 aid a0000731221108 amex credit auth code 2 otb some promotions way reduce the refund value of items ouceporonarkantaciiacepaceaiaonen we feedback! “ take quick survey enter chance to win $250 store gift card . go myfakestore . com/win * 5 winners monthl * reo dooookiacoricoigono ioi cashier john doe store 123 pos 008 transact ion2529 sunday, february 13, 2002 1228 am"
fund raising,"your nonprofit ’ letterhead) date your name your organization's name street city, state zip dear donor ’ name], our annual/biannual/monthly event, event] place date] location]. our theme year insert theme],'re raise insert fundraising goal]. we ’ meet goal people/companies you/yours . that's i'm writing . would consider making donation amount] sponsor event? by giving event],'ll accomplish goal, assist members community, save lives,, be specific possible]. in appreciation anticipated donation, offer incentive . again, specific possible]. we hope count make year ’ event! please include donation selfaddressed stamped envelope included letter offices address] make contribution . ‘ thank advance sponsorship! we hope event]! sincerely, {signature organizational leader] typed organizational leader] ps . end update upcoming event, volunteer opportunity, information]"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/13/2022 1228 am lect) 9836102381629381230981 tmars remote adjustable 1 $108 dropeer seatpost disney/pixar . toy story 20th 1 wh . anniversary ‘ subtotal $163 . t = ca tax 7 . 7500 176 . 404 b12, 244 total, . $175 . 494 43.16 diner charge ‘ s175 . 404 aid 0000070174622 diner oebit auth code 64682 some promotions may reduce the refund valle of itexs dep ese rerochooooohoo soe eoococoocecesoe fle feedback! take quick survey enter chance to win $260 store gift card . go yfakestore . com/win * s winrers monthiy * saoc es roozrcurrioeeoa iodc ehoqeiooodoo cashier john doe store 123 pos 006 transact ion2629 sunday, february 13, 2022 1228 am"
receipt,"the aiml store 1284 somewhere rd (poway, california 92129 02/13/2022 1228 am eee ua acer . switch alpha 12 2in1, 1 $1071.99 harley davidson tattoo twin 1 $6.2 comforter . hole house electronic 1 s192 descaler water ‘ subtotal $1,960.11 t = ga tax 7.7500 $102 . 008 1,462 . 118 total $1,462 . 118 12583 . mastercard charge 1,462 . 118 aid 00007 12041570 mastercard credit auth code 061570 ‘ some promotions may reduce . the refund value of items sor rehidohredohoacoo erin iahr aito we feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . com/win * 5 wimrers monthly * ror oorirceeoooe acoso aookoce cashier john doe store 123 pos 003 transact ion2520 sunday, february 18, 2022 1228 ak"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/13/2022 1228 am vung ipad mini 2 case, ipad 1 $33.54 honeywe 11 ht900 turboforce} $38.51 air circulator esoresso machine ~ for 1 $106.19 nespresso subtotal $177.24 t = ca tax 7 . 7500 190 . 623 $19 . 298 total 9190 . 83 19298 diner charee $190.533 aid poogos0e364408 diner credit auth code baas ‘ some promotions may reduce the refund value cf tens scc ioi ioi at iir ii isth, we feedback! take ‘ quick survey enter . chance to win $260 store gift card . go myfakestore . con/win 5 winners . monthly * joris ik for iiia iia ior aa ik irie cashier john doe store 123 pos g03 transact ion 2629 sunday, february 13, 2022 1228 am"
bank statement,"page 10f5 03/02/2022 de 1090001004290 . gi anycompany llc 999999999 16769 3 c001 11 s 66 002 efua owusu 4616 kertzmann well, dubuqueville, ga 103388601 your consolidated statement contact for 03/02/2022 3 example.com as lll0101 do digital banking bank leave home check account balances, make transfers, pay bills deposit checks mobile device . if you.are enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany llc lf traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts unt number account name e ($) _ details on checking 996070539119 ""9,798.70 page 4 total checking money market savings accounts . $9,798.70 savings ae 607053911936, 15,551.36 page 3 total savings accounts $15,551.36 . checking money market savings accounts ™ checking 006070539119 account summary . your balance 06/17/2020 . ——i— (‘ éa $9,798.70 average posted balance statement cycle $3,062.82 checks total checks — “ = $701.39 . * indicates skip sequential check numbers item . = page 1 1 0000667"
bank statement,"page 10f5 03/02/2022 dc 1090001004290 gi anycompany financial group 999999999 16769 3 c001 11.s 66 002 mateo jackson 8578 tequila haven, kuphalshire, me 81183 your consolidated statement contact for 03/02/2022 ey . (boe ssbc do digital banking bank leave home . check account balances, make transfers, pay bilis deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany financial group lf traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account number balances) _ details on 002220502652 15,287.29 page 1 savings ¢ ""$15,287.29 °° total checking money savings accoun savings . 222050265236 5,730.74 page 3 total savings accounts $5,730.71 checking money market savings accounts checking 002220502652 account summary ir previous balance 03/02/2022 sits, credits interest balance 06/17/2020 = $15,287.29 average posted balance statement cycle $3,573.14 checks date check #amount ($) date check #amount (s) o56; * 965028 . * indicates skip sequential check numbers hhis item = page 1 1 0000667"
bank statement,"page 10f5 03/02/2022 dc 1090001004290 gi anycompany corp 999999999 16769 3 c 001.11 s 66002 nikki wolf . 655 delmar skyway, mcglynnberg, fl 687631024 your consolidated statement contact for 03/02/2022 few exeriecom fayed eee ior oe do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany corp if traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts a m tna account number details on ’ checking 003076682294 page 1 total checking money market savings accounts . $13,478.92, 00 savings 307668229436 7,258.11 page 3 total savings accounts checking money market savings accounts ™ checking 003076682294 account summary $13,478.92 average posted balance statement cycle $14,520.20 checks date check #amount (s) date check #amount ($) check #amount ($) 05260 1401 8000 965025 10 06/0 — 150 . * jndicates skip sequential check numbers item total checks = $701.39 = page tof 1 0000667."
invoice,"anycompany inc . date oct 26, 2018 suite 128 9561 jamel hill invoice #326745411 weberchester id 497552892 customer id 2555 phone (858) 5550101 due date nov 10, 2018 bill to mary major 219 luis isle, north lylechester georgia 283213282 mary.majorexample.com description amount dewalt dcs387b 20volt max compact $125.04 rtic 30 oz . tumbler $34.46 evga 430 w1, 80+ white $60.34 wireless sport bluetooth headphones $55.72 total $275.56 other comments total payment due 30 days ifpaying check, include invoice number check questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
tax return,"i9) internal revenue service united states department treasury this product contains sensitive taxpayer data request date 03097°21 response date 03°° = tracking number 197 . account transcript form number 1040 tax period dec. 31, 2020 taxpayer identification number = sone spouse taxpayer identification number oe any minus sign shown below account balance 0.00 accrued interest 0.00 as of mar . 15, 2021 accrued penalty 0.00 as of mar . 15, 2021 account balance plus accruals (payoff amount) 0.00 * * information from the return or as adjusted * * exemptions 00 filing status married filing joint adjusted gross income taxable income tax per return se taxable income taxpayer se taxable income spouse total self employment tax return not present for this account transactions code explanation of transaction cycle date amount no tax return filed 766 tax relief credit 04272020 $2,400.00 766 credit account 04272020 $500.00 846 refund issued 04152020 $2,900.00 290 additional tax ac ” sed 20201505 04272020 $0.00 gr 971 notice issued 04272020 $0.00 this product contains sensitive taxpayer data"
business proof,legal safe shop mam = with and direct government delhi form gst reg25 pp r o o f certificate provisional registration 1 . gstin o7aaace9961d2zl ze pan aaace9961d 3 legal name safe and secure online marketing priva ’ limited 4 . trade name safe and secure online marketing pvt ltd registration details existing law act registration number () tin value added tax 0708025 1367 (b) central sales tax registration number (0708025 1367 () service tax registration number aaace9961dst001 () corporate identity number / foreign company u52390dl2001ptc 109313 registration number date 26/06/2017 this certificate provisional registraion issued provisions act.
invoice,"anycompany manufacturing date jul 03,2018 invoice #181572809 . customer id 1717 403 buck burg due date jul 18, 2018 north cornelius mo 514018213 phone (858) 5550101 bill to kwaku mensah 33676 klein walk, new cherlyfurt nebraska 709856090 kwaku.mensahexample.com description amount opuntia old mexico spineless cactus $25.85 flora swedish bitters nonalcohol $35.4 naturewise green coffee bean extract $38.74 minecraft papercraft snow set $38.21 inflatable air hammock lounge $87.17 total $225.37 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
invoice,"anycompany inc . date jun 21, 2018 suite 148 33078 tony isle invoice #255709518 south brittanyshire wv 62941 customer id 7950 phone (858) 5550101 due date jul 06, 2018 bill to ana carolina silva 3000 fadel forest, port jonasside alabama 52042 ana.carolina.silvaexample.com description amount ipad mini 2 case, ipad $33.54 honeywell ht900 turboforce air circulator $38.51 espresso machine for nespresso $105.19 total $177.24 other comments total payment due 30 days ifpaying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
invoice,"anycompany inc . date apr 21, 2021 9136 celeste trail invoice #206283394 lake effie md 90454 customer id 426 phone (858) 5550101 due date may 06, 2021 bill to efua owusu 63221 pasquale station, east lilyburgh indiana 036852243 efua.owusuexample.com description amount cabot corner desk harvest $303.33 educational insights el1910 educational insights $18.17 decorative metal wall sconce $54.16 total $375.66 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
address proof,"the school district of palm beach county planning and intergovernmental relations affidavit residence this form extenuating circumstances hardship prevent parent guardian provide (2) proofs address . complete date form, sign oath notary, return front office school . absent approved alternative method assignment reassignment, students the school district palm beach county assigned annually school attend authority board direction superintendent, pursuant school board policy 5.01 policy 5.011 . students assigned schools policies based residence student/parent/legal guardian attendance boundaries established school board . 1 . what extenuating circumstance hardship prevents providing (2) proofs address? 2.a,, (print parent/egal guardian/person acting parent) parent/legal guardian named student () (print () student ()) orb,! aman emancipated student (print) check either 3a 3b, then enter your address in the address box below * 3.a, parent/legal guardian currently residing address listed abovenamed student () orb, lamthe emancipated student residing address listed address * * the primary residence defined home student () spends his/her/their time . 4 . my contact phone number () 5 . this verification order student () named attend (print school) 6. certify claim homestead exemption address authorize school district share address related information government agencies, county property appraiser offices, purpose verifying residence . if, explain briefly . 7 . important information student athletes the student's ability participate athletic programs delayed documentation reviewed athletic eligibility determined school personnel and/or manager district athletics . according florida high school athletic association's operational bylaws, article 9 9.1.2.2 falsification information . a student and/or parent/legal guardian appointed court competent jurisdiction falsifies information eligibility declared ineligible represent member school period year date discovery . pbsd 1866 (rev . 5/10/2018) page 1 2"
bank statement,"page 10f5 03/02/2022 dc 1030001004290, anycompany credit union 999999999 16769 3 c001 11 s 66.002 jorge souza 4345 d'amore motorway, lake noetown, ut 59773 . your consolidated statement contact for 03/02/2022 eg cerviccon fag ior do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn ., visit example.com/abcxy z .. 2020 anycompany credit union if traveling usa have.concems accessing account traveling, contact branch banker call 858lll0101 summary accounts account ol checking ""009617839182 total checking money market savings accounts savings 961783918236 5,376.69 page 3 total savings accounts $5,376.69 checking money market savings accounts checking 009617839182 account summary deposits, credits intere your balance 06/ $17,945.86 average posted balance statement cycle $7,757.74 check #amount (s) date check #amount ($) date check #08 1 aa — 450 . 06/05 * 965025 101.39 06/09 985 jndicates skip sequential check numbers item total checks = page 10f1 0000667"
invoice,"anycompany hardware supplies apt . 729 4708 allene station juanaport ok 22612 phone (858) 5550101 bill to kwesi manu 7693 hilll tunnel, new guadalupe alaska 907077528 kwesi.manuexample.com oso date feb 14, 2021 invoice #367988525 customer id 7808 due date mar 01, 2021 description amount xise sexy fox tail vibrating $25.01 shopkins season 4 12 pack $26.41 total $51.42 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
tax return,") internal revenue service ‘ united states department treasury sss ee 7 account transcript request date response date teaching wunber 200191107146 oma nuwagr 1040 tak period dee . 31, 201 {akpayer identification momer 999993999 spouse taxpayer identification mmer 0881 ‘ sura clavs <<<<fower of attoruey/tax inforiation authoriemtion (por/tia) fileds axy semus six show below signiftes a credit anount — accom axtance 2.00 acerurd interest 0.00 as of jet . 01, 2013 (enis nots payee! anont) = o.00 enpormation from the retury or as adjusted ++ exemptions oe ruin starus married fiting jeint aosueted cnoss rico $3,328.00 ‘ taxable . income 26,046.00 ""tax per return 2,915.00 se taxable thome taxpayer 0.00 se table ticome srouse 0.00 oral self enploment tax 0.00 returd doe omte or retura received bate (whichever 15 later) may 02, 2012 processine 21, 2012 co enero cc cone ‘ explanation of transaction crcle = (date aamount 150 tex setuen filed 20121905 05212012 51,956.00 30221123005802 2062 of 1099 withholding 4152012 $6,691.00 960 appointed representative 07052011 $0.00 961 renoved appointed representative 01162012 50.00 960 appointed representative 04022012 0.00 460 extension file ext . date 10152012 04152012 0.00 n46 refund tensed 5212012 84,775.00 960 appointed representative 07102012 $0.00 960 appointed representative 01212013 0.00 291 prior tex abated 02112013 5891.00 45256761071702 o7l notice isssed 02112013 0.00 coon m6 refund senses eac2013 5909.42 176 interest credited account ozar2013 o"
receipt,"the aiml store 1234somewhere rd poway . california 92129 02/13/2022 1228 am he acrioe eae eae wemo suitch snart plug 1 princéssa aloe lipsticks set 1 samson srb60 semi openback $60.18 studio . reference subtotal $196.06 t = oa tax 7.7600 16.19 _ $10.18 ~ total $16.19 “ 31829 anex charge = » 916.19 aid 0000867424061 . amex credit auth code 64081 some promotions may reduce the refund value of 1teks jro deiooii io iii ioi air, we feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . com/win 5 winmers monthi * peice dor hoe choot epo . cashier john doe store 123 pos 008 transaction 2629 . sunday, february 18, 2022 1228 am"
employment proof,"letter landlord ‘ sesmotisns eval fy ua ws yurmust fave mprpree cca ascomncrto ysertagh wee win yu canary farce ane aerating sence neal ewe st sty ening open yi alter kr jou anon caren eien span mn ldn + thealgesra sepopery 1 hawn betecrs ope) ee erdor eps ome (fury, groom) + fieigce mae ys wa brig tr meun yt 7g wh 1 tatty ae tagy nya stare wth ae open 1 tatteepery cucu beige arampiota dot ate ‘ othe tnty cesanceomiew, sh embassy ear steams, cares nana elalirdanageoline ropeny aden leper lsnen sss scree ts hae stems racepn rm"
bank statement,"page 1 ofs 03/02/2022 dc 1090001004290 gi anycompany corp 999999999 16769 3 c001 11 s 66.002 john stiles 434 monahan fall, kamiburgh, mi51231 your consolidated statement contact for 03/02/2022 eg ceric (958) lll o10 do digital banking bank fo leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany corp . if traveling usa concerns accessing account traveling, contact branch banker call 858lll0104 summary accounts accoun ____ balance () __ details on 16,310.70 page 1 total checking money market savings accounts $16,310.70 savings 36 48,371.53 page 3 total savings accounts $18,371.53 (total savings 2000s eee a checking money market savings accounts checking 001246418632 account summary your previous bala checks sof 03/02/2022 deposits, credits your balance /17/2020° = $16,310.70 average posted balance statement cycle $18,163.01 checks date check #amount (s $) check #amount amount (8) 0526 4401 asios * 965025 96/09 i * indicates skip sequential check numbers item total checks = page 1 1 0000667"
invoice,"anycompany wholesales 1112 jacobi parkways josefburgh sc 35000 phone (858) 5550101 bill to diego ramirez 4770 fernando bridge, port bernettafort montana 185452022 diego.ramirezexample.com date mar 16, 2018 invoice #47326739k customer id 4256 due date mar 31, 2018 description amount craftsman 309piece mechanics tool set, $314.59 aivn usb 3.1 type c $18.74 total $333.33 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice _inguiryexample.com thank you for your business!!"
bank statement,"page 10f5 03/02/2022 jeje} 4090001004290 gs anycompany finance ltd 999999999 16769 3 c001 11 s 66 002 li juan 450 genny hill, south lakitaberg, md 09014 66621 your consolidated statement contact for 03/02/2022 ey crve.com eee do digital banking bank leave home check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany finance ltd if you.are traveling usa concems accessing account traveling, contact branch banker call 858lll0104 summary accounts account name details on checking page 1 total checking money market savings acco ~ $4,197.83 — ee 149709740036 oe 17,393.19 _ _page 3 total savings accounts $17,393.19 2 . checking money market savings accounts checking 001497097400 account summary ‘ your previous 03/02/2022 $17,713.24 checks _ — 3 oth bits service charge _ 5 deposits . interest + 8,416.28 your balance 06/17/2020 = $4,197.83 average posted balance statement cycle $14,942.89 checks date check #amount ($) date check amount ($) date check #amount (s) 057261401 .00 06/05 401.39 “ 06ic * indicates = page 1 1 0000667"
bank statement,"page 1of5 03/02/2022 dc 1090001004290 gi anycompany bank 999999999 16769 3 c 001 11 s 66.002 jorge souza 610 jewell port, olsonberg, ks 875691613 your consolidated statement contact for 03/02/2022 coe & do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany bank if traveling usa concems accessing account traveling, contact branch banker call 858lll0104 summary accounts ___asgount number ___balance (s) _ details on . 001164211528 5,515.18 page 1 total checking money market savings accounts $5,515.18 7 savings _ 11642 52836 _ 9,698.60 page 3 total savings accounts $9,698.60 (total savings 2000s eeecnenn ieee aa checking money market savings accounts checking 001164211528 account summary your previous balanc deposits, credits ‘ #534213 your balance = $5,515.18 average posted balance statement cycle . $7,715.70 checks date amount (s) date check #amount (8) date 450.00 0605 * 8 7 indicates skip sequential check numbers item total checks page 1 1 0000667"
employment proof,"3/15/2010 mr. mike williams century apartment complex 25 century lane springfield, mo 13243 subject letter employment verification sally smith mr. williams, sally jones employed marketing manager smith industries jan 15th, 2010 . sally's annual salary 3/1/2010 $40,000 . she works fulltime basis . please contact 1 800 555 5555 additional service . sincerely, bob smith smith industries 123 avenue north springfield, mo 12345"
bank statement,"page 1 03/02/2022 de 1090001004290 gis anycompany finance ltd 999999999 16769 3 c001 11 s 66002 paulo santos 482 lind village, port ingrid, mi 509103097 your consolidated statement contact for 03/02/2022 example.com as ello104 do digital banking bank leave home check account balances, make transfers, pay bills deposit checks mobile device enrolled digital banking, lakes minute gel started today . com/u . example bank, member fdic to learn, visit example.com/abcxyz 2020 anycompany finance ltd ifyou traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts accountname account number lance (s) __ details on checking 003524533639 18,927.12 page 1 total checking money market savings accounts $18,927.12 savings 352453363936 47,236.37 page 3 toial savings accounts ~~"" $17,236.37 checking money market savings accounts = checking 003524533639 account summary your previous bala! checks _ + 8,622.79 $18,927.12 average posted balance statement cycle $17,349.44 hecks date amount (s) date check #date check #amount ($) 006/05 060g 985026 10 * indicates skip sequential check nt rs item . total checks = $701.39 wd 18 tutl page 1 1 0000667"
bank statement,"page 1 ofs 03/02/2022 pc 1090001004290 gis anycompany finance ltd 999999999 16769 3 c001 11 s 66002 akua mansa 914 stokes via, west buckton, ms 321 266317 your consolidated statement contact (858) lll0101 for 03/02/2022 ee eerie bee ee ol! do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u . example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany finance ltd ifyou traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account name account number balance ($) details on checking ~~ 9907049348 “ 4,120.55 page 1 total checking money market savings accounts $4,120.55 7 savings 0704934841 36 17,681.23 accounts — $17,681.23 total savi checking money market savings accounts checking 000704934841 account summary your previou! checks_ other wi deposit your balance 06/17/2020 average posted balance statement cycle $14,834.81 checks date check #amount ($) date check #amount (s) 057261401 ~ 104.39 0 total checks = $701.39 * indicates skip ir = page 1 1 0000667"
invoice,"anycompany hardware date nov 13, 2021 supplies invoice #740228986 customer id 1210 71509 karol forges due date nov 28, 2021 jinnyside pa 59385 phone (858) 5550101 bill to diego ramirez 882 guillermina haven, west marlinberg wisconsin 960819194 diego.ramirezexample.com description amount gold label world's fair animated $207.89 total $207.89 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/18/2022 1228 am ane hha steelseries stratus xl, ty bluetdoth wireless; 4 new version v3 ash gym 4 $24.28 subtotal 2 $98.42 t= ga tax 7.7500 106.602 7 bbb 2 total $105 . 802 g90 diner charge $106 . 802 . ad anoontan204071 diner debit auth code 064011 ‘ some promotions may reduce the refund value of 1 teng 2 dohco aoi ki siioociaiiadok we feedback! take quick gurvey enter . chance to wina $260 store gift card . go myfakestore . com/w . 8 winners monthi * lorie iocoeiciiip cei ion ioae cashier jono doe store 123 pos 003 . transact ion 2629 . _ sunday, february 18, 2022 1228 am"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 2/19/2022 1228 am uum equals 9838162381829381~230981 snarthouth original activated — 1 te mouthwash . wwf 91.0024, 6066 vienola low 8.8 casserole subtotal $6 . 18 t = ca tax 7 . 7800 103.904 $7214 total $108 . 204 e556 amex charge 9108 . 304 aid aqn01g7s55914 amex credit auth code 514 some promotions may reduce the refund value of items 21 idoi lai ii io hai iia rii we feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . con/win winners monthl * oho i irie hiri ie iiht oki cashier john doe store 123 pos 003 . trangact 1on2629 sunday, february 18, 2022 1228 am"
